iter	Passed	Remaining
898	2320	260
899	2322	258
900	2324	255
901	2325	252
902	2326	249
903	2328	247
904	2332	244
905	2335	242
906	2337	239
907	2338	236
908	2339	234
909	2341	231
910	2342	228
911	2346	226
912	2349	223
913	2350	221
914	2352	218
915	2354	215
916	2355	213
917	2357	210
918	2358	207
919	2363	205
920	2372	203
921	2374	200
922	2387	199
923	2389	196
924	2391	193
925	2402	192
926	2404	189
927	2407	186
928	2411	184
929	2413	181
930	2415	179
931	2417	176
932	2422	173
933	2424	171
934	2427	168
935	2429	166
936	2431	163
937	2438	161
938	2441	158
939	2444	156
940	2446	153
941	2447	150
942	2449	148
943	2453	145
944	2454	142
945	2456	140
946	2457	137
947	2459	134
948	2471	132
949	2473	130
950	2486	128
951	2502	126
952	2504	123
953	2505	120
954	2515	118
955	2519	115
956	2521	113
957	2523	110
958	2533	108
959	2534	105
960	2536	102
961	2537	100
962	2539	97
963	2546	95
964	2549	92
965	2550	89
966	2553	87
967	2554	84
968	2555	81
969	2558	79
970	2560	76
971	2562	73
972	2564	71
973	2565	68
974	2569	65
975	2571	63
976	2573	60
977	2575	57
978	2584	55
979	2585	52
980	2587	50
981	2589	47
982	2590	44
983	2602	42
984	2604	39
985	2605	36
986	2607	34
987	2618	31
988	2619	29
989	2621	26
990	2623	23
991	2632	21
992	2634	18
993	2635	15
994	2640	13
995	2642	10
996	2643	7
997	2645	5
998	2646	2
999	2653	0
